Id,SalePrice
1461,123133.62527083464
1462,164661.2099980361
1463,187294.25981193376
1464,185707.33134112158
1465,180308.86236193002
1466,175854.07290758612
1467,178126.12775843038
1468,173046.27531818696
1469,178044.46078246803
1470,125451.31424604444
1471,210472.97259294166
1472,90920.92496275647
1473,86847.33209106592
1474,151135.6434734418
1475,113948.6942981392
1476,373832.9486464517
1477,258091.78029775815
1478,295331.36569639953
1479,264914.87532437395
1480,459829.69134044764
1481,329213.53642976674
1482,205868.18062242845
1483,177710.66436031595
1484,165196.60119045275
1485,178959.91642359344
1486,195735.500167294
1487,306455.89787926927
1488,227227.28982294328
1489,202138.68463249493
1490,224615.5813942032
1491,187740.9813977372
1492,91713.89420718655
1493,193444.20703281683
1494,291172.8188249914
1495,276360.7170347701
1496,237987.1858729656
1497,191733.4010238096
1498,150780.8951192357
1499,154535.99444833564
1500,156264.55679324782
1501,178945.1810259109
1502,140652.76726385384
1503,300819.5538867522
1504,234884.5282694818
1505,217927.44097715837
1506,172919.77447491864
1507,245797.35591400263
1508,215039.3335303825
1509,162391.58984624283
1510,151839.85689212132
1511,147666.35174226394
1512,168322.1357861268
1513,149775.65394970286
1514,182900.93088100958
1515,196923.7212295061
1516,147959.75561277446
1517,158816.21787982635
1518,118498.76021955011
1519,221847.98656595466
1520,137642.40264833038
1521,140767.26753713313
1522,158346.99255159913
1523,114430.68960132284
1524,128962.63265684928
1525,119536.70921766911
1526,120447.9369107345
1527,107174.14596556308
1528,143598.29219333245
1529,148989.635820075
1530,163422.70745301477
1531,119465.16410954762
1532,99666.84144811146
1533,142118.72850919765
1534,119356.23486041806
1535,145754.57888964895
1536,113876.44353025597
1537,59635.792323129535
1538,142676.67555929985
1539,176489.03921262006
1540,100438.16300770074
1541,141759.83962103637
1542,150600.69798649318
1543,215360.8828707833
1544,76938.5607666972
1545,114004.72573795645
1546,127240.53290673422
1547,132483.29338060258
1548,130301.5561009805
1549,118025.42206461566
1550,135972.3162788358
1551,117742.61112410284
1552,124981.23224964904
1553,145211.32079141773
1554,107967.01654423804
1555,193816.66480055678
1556,72834.40143955588
1557,105571.4693798055
1558,98746.1070789084
1559,94698.0606070689
1560,129058.70292718303
1561,170226.99749266662
1562,130655.03690975346
1563,119950.80410400785
1564,157724.762761924
1565,159617.08388488053
1566,251336.27434452588
1567,68979.06794203472
1568,238495.3748321995
1569,150308.00795801444
1570,133936.13176030916
1571,104839.69636922824
1572,151928.49114419046
1573,220670.0525243702
1574,105966.22051412579
1575,210783.67141613926
1576,224404.80339077523
1577,196195.31312217977
1578,136900.67565361442
1579,143912.4816760484
